Time	x coordinate for point mass 1	y coordinate for point mass 1	estimated x velocity for point mass 1	x velocity uncertainty for point mass 1	estimated y velocity for point mass 1	y velocity uncertainty for point mass 1	total velocity of point mass 1	total velocity of point mass 1 uncertainty	estimated kinetic energy of point mass 1	kinetic energy uncertainty of point mass 1	estimated potential energy of point mass 1	potential energy uncertainty of point mass 1	estimated Hamiltonian (total energy) of point mass 1	Uncertainty of the estimated Hamiltonian (total energy) of point mass 1	x coordinate for point mass 2	y coordinate for point mass 2	estimated x velocity for point mass 2	x velocity uncertainty for point mass 2	estimated y velocity for point mass 2	y velocity uncertainty for point mass 2	total velocity of point mass 2	total velocity of point mass 2 uncertainty	estimated kinetic energy of point mass 2	kinetic energy uncertainty of point mass 2	estimated potential energy of point mass 2	potential energy uncertainty of point mass 2	estimated Hamiltonian (total energy) of point mass 2	Uncertainty of the estimated Hamiltonian (total energy) of point mass 2	The hamiltonian (total energy) of the entire system	Uncertainty of The hamiltonian (total energy) of the entire system
0.4998555556	-0.07160341654	-0.1100104156	0.001591464	0.1060689782	0.098766684	0.1169155412	0.09877950509	0.1169128563	4.88E-05	0.0001154859408	0.02648597823	4.91E-05	2.65E-02	0.0001254777481	-0.0370950275	-0.2356113308	-1.193147249	0.6035798068	-0.219642801	0.1523628795	1.213195499	0.5942461268	0.00735921659	0.007209367271	0.01416452845	4.91E-05	0.02152374504	0.007209534199	0.04805851022	0.007210959901
0.5165555556	-0.06596864226	-0.110543287	0.1733987604	0.1367726893	-0.017040735	0.1064049672	0.1742340861	0.136514209	0.0001517875838	0.0002378542845	0.02643370355	4.91E-05	0.02658549113	0.0002428627803	-0.0575024239	-0.2387591197	-1.268191162	0.6404037957	-0.144738651	0.128240027	1.27642395	0.636439413	0.008146290505	0.008123665107	0.01385573036	4.91E-05	0.02200202086	0.00812381325	0.04858751199	0.008127738848
0.5331888889	-0.06582345786	-0.1105784401	0.1113853251	0.1196950663	-0.07099884	0.1118040577	0.1320890833	0.117469706	8.72E-05	0.0001551646579	0.02643025503	4.91E-05	2.65E-02	0.0001627382299	-0.07936806624	-0.2404359525	-1.33588938	0.6736750303	0.018550251	0.1064675589	1.336018169	0.6736117118	0.008924722737	0.008999574868	0.01369123306	4.91E-05	0.0226159558	0.008999708594	0.04913344845	0.00900144729
0.5498555556	-0.06225579809	-0.112909915	0.2782465821	0.1745014541	-0.159515184	0.1325159804	0.3207276951	0.1651127115	0.0005143312719	0.0005295621946	0.02620153734	4.91E-05	0.02671586861	0.000531830616	-0.1020320699	-0.238140778	-1.315971881	0.6638816618	0.29837895	0.182564497	1.349374666	0.6487050812	0.009104059944	0.008753462034	0.01391638968	4.91E-05	0.02302044962	0.008753599522	0.04973631823	0.00877001501
0.5665111111	-0.05654857179	-0.1158956129	0.4005754926	0.225931188	-0.209645382	0.1488289958	0.4521193553	0.2117360191	0.001022059557	0.0009572995261	0.02590864037	4.91E-05	0.02693069993	0.0009585562559	-0.1232337956	-0.2304899875	-1.104777261	0.5603097497	0.62936727	0.3308854307	1.271469998	0.5136637069	0.008083179785	0.006531079939	0.01466693223	4.91E-05	0.02275011201	0.006531264212	0.04968081194	0.006601595047
0.5831777778	-0.04890328167	-0.1198980944	0.4388638902	0.2429319779	-0.208584441	0.1484588372	0.4859104682	0.2284785447	0.001180544916	0.001110201168	0.02551599694	4.91E-05	0.02669654186	0.001111284984	-0.1388579786	-0.217161869	-0.773731524	0.3996500863	0.880347795	0.4510611218	1.172037846	0.4294130511	0.006868363557	0.005032883485	0.01597442065	4.91E-05	0.02284278421	0.005033122615	0.04953932606	0.00515481255
0.5998333333	-0.04191977545	-0.1228484276	0.3857895432	0.2194568775	-0.160710033	0.132873536	0.4179249769	0.2089265684	0.0008733064317	0.0008731563138	0.02522656925	4.91E-05	0.02609987568	0.0008745339055	-0.1490248464	-0.201145061	-0.505851357	0.273332492	0.998982315	0.5086742346	1.119755	0.4703093532	0.006269256305	0.005266312509	0.01754566952	4.91E-05	0.02381492582	0.005266541053	0.04991480151	0.005339108459
0.6165	-0.03604363023	-0.1252550955	0.3007099551	0.1835105665	-0.114797616	0.1204919868	0.3218772588	0.1767463315	0.0005180248487	0.0005689062475	0.02499047513	4.91E-05	0.02550849998	0.0005710182546	-0.1557196905	-0.1838624585	-0.242067915	0.1605685508	0.901341057	0.4612291659	0.9332805454	0.4473872852	0.004355062883	0.004175378502	0.01924109282	4.91E-05	0.0235961557	0.004175666759	0.04910465568	0.004215100182
0.6331666667	-0.03189611028	-0.1266750148	0.2402187336	0.159878331	-0.076126839	0.1126377223	0.2519927292	0.1561606988	0.0003175016779	0.0003935136071	0.02485118105	4.91E-05	0.02516868273	0.0003965607707	-0.1570937769	-0.1711003591	-0.079337463	0.113185885	0.824135019	0.4239032344	0.8279450239	0.4220919043	0.003427464813	0.003494688922	0.02049305477	4.91E-05	0.02392051959	0.003495033328	0.04908920231	0.003518143434
0.6498111111	-0.02803633911	-0.1277926568	0.2081019129	0.148290802	-0.054890496	0.1095318573	0.2152193595	0.146082665	0.0002315968635	0.0003143981762	0.02474154037	4.91E-05	0.02497313723	0.0003182038257	-0.1583642726	-0.1563912912	0.068316882	0.1113888835	0.833285256	0.4283166215	0.8360810453	0.4269813827	0.003495157571	0.003569910412	0.02193601433	4.91E-05	0.0254311719	0.003570247588	0.05040430914	0.003585071337
0.6664666667	-0.02495937985	-0.128504698	0.18683676	0.1410932933	-0.040731573	0.1079882113	0.1912250923	0.1397612224	0.0001828351796	0.0002672585266	0.02467168913	4.91E-05	0.02485452431	0.0002717251678	-0.1548165475	-0.1433241839	0.196189992	0.1442074935	0.58094799	0.3081419975	0.6131811152	0.2955674413	0.0018799554	0.001812363735	0.02321789756	4.91E-05	0.02509785296	0.001813027792	0.04995237727	0.001834589673
0.6831444444	-0.02180844711	-0.1291503759	0.2023056066	0.1462880658	-0.037108596	0.1076638908	0.2056808361	0.1451926922	0.0002115230318	0.0002986335436	0.02460834812	4.91E-05	0.02481987116	0.000302637466	-0.1518246062	-0.1370263582	0.214984149	0.1507059872	0.305460972	0.1854463852	0.3735299047	0.1747053131	0.0006976229487	0.0006525765907	0.02383571426	4.91E-05	0.02453333721	0.0006544185302	0.04935320837	0.000724339629
0.6998	-0.01821585963	-0.1297416512	0.2098951311	0.1489162711	-0.02625342	0.1068687737	0.2115306316	0.1483589804	0.0002237260406	0.0003138246886	0.02455034402	4.91E-05	0.02477407006	0.0003176371703	-0.1476504092	-0.1331421515	0.244289412	0.1614007846	0.081613011	0.113586426	0.2575616438	0.157257913	0.0003316900019	0.0004050360661	0.02421675494	4.91E-05	0.02454844494	0.0004079970878	0.049322515	0.000521698995
0.7164666667	-0.01481194274	-0.1300254899	0.1995305382	0.1453397513	-0.019958949	0.1065307223	0.2005262958	0.1450062274	0.0002010539766	0.0002907756167	0.02452249944	4.91E-05	0.02472355342	0.000294886232	-0.1436816258	-0.1343059245	0.271242483	0.1717447829	-0.103269654	0.117876498	0.2902362934	0.1658948319	0.0004211855301	0.0004814870117	0.02410258881	4.91E-05	0.02452377434	0.0004839805244	0.04924732775	0.000570972744
0.7331333333	-0.01156484169	-0.1304069495	0.2093850538	0.1487380797	-0.021807387	0.1066205483	0.210517607	0.1483496082	0.0002215883143	0.0003123020453	0.02448507825	4.91E-05	0.02470666657	0.000316132877	-0.1386089931	-0.1365844733	0.280578108	0.1754248712	-0.457015833	0.2510955524	0.5362718959	0.2328390189	0.001437937732	0.001248650223	0.02387906317	4.91E-05	0.0253170009	0.001249613892	0.05002366747	0.001290848484
0.7497888889	-0.007832440948	-0.1307524028	0.2111304429	0.1493487267	-0.011296164	0.1062150937	0.2114324177	0.1492433472	0.0002235183362	0.0003155488174	0.02445118929	4.91E-05	0.02467470762	0.0003193406968	-0.1343290222	-0.1495397856	0.302321511	0.1841660745	-0.561344352	0.2989948425	0.637578056	0.2773511891	0.002032528888	0.001768330323	0.02260814703	4.91E-05	0.02464067592	0.001769010893	0.04931538354	0.001798942152
0.7664555556	-0.00452716026	-0.1307834883	0.1812062201	0.1392601289	-0.002308332	0.1060722464	0.1812209221	0.1392553858	0.0001642051131	0.0002523598944	0.0244481398	4.91E-05	0.02461234491	0.0002570854588	-0.1285316094	-0.1552959517	0.33124386	0.1961163369	-0.682123107	0.3558711292	0.7582970578	0.3313872633	0.002875072139	0.002512899872	0.02204346714	4.91E-05	0.02491853928	0.002513378841	0.04953088419	0.002527445549
0.7831222222	-0.00179223361	-0.1308293472	0.1404735188	0.1270583161	0.002157402	0.1060714585	0.1404900846	0.1270537757	9.87E-05	0.0001784979571	0.02444364104	4.91E-05	2.45E-02	0.0001851186889	-0.1232875602	-0.1722772225	0.409212393	0.2297377982	-0.905281005	0.4631388941	0.993472939	0.4325045078	0.004934942403	0.004296815253	0.02037760447	4.91E-05	0.02531254688	0.004297095386	0.04985487523	0.004301640687
0.7997888889	0.0001552903682	-0.1307115749	0.05689962648	0.1097858356	0.008953482	0.1061596967	0.05759975984	0.1096996319	1.66E-05	6.32E-05	0.0244551945	4.91E-05	2.45E-02	8.00E-05	-0.1148911963	-0.1854719852	0.541320687	0.2896931782	-1.012680933	0.5153481588	1.148281655	0.4745652407	0.006592753791	0.005449345607	0.01908319825	4.91E-05	0.02567595204	0.005449566496	0.05014773521	0.005450595371
